,Unnamed: 0,loan_status,Principal,terms,effective_date,due_date,age,education,Gender
0,0,1,1000,30,9/8/2016,10/7/2016,45,High School or Below,male
2,2,1,1000,30,9/8/2016,10/7/2016,33,Bechalor,female
3,3,1,1000,15,9/8/2016,9/22/2016,27,college,male
4,4,1,1000,30,9/9/2016,10/8/2016,28,college,female
6,6,1,1000,30,9/9/2016,10/8/2016,29,college,male
7,7,1,1000,30,9/9/2016,10/8/2016,36,college,male
8,8,1,1000,30,9/9/2016,10/8/2016,28,college,male
9,9,1,800,15,9/10/2016,9/24/2016,26,college,male
10,10,1,300,7,9/10/2016,9/16/2016,29,college,male
11,11,1,1000,15,9/10/2016,10/9/2016,39,High School or Below,male
12,12,1,1000,30,9/10/2016,10/9/2016,26,college,male
13,13,1,900,7,9/10/2016,9/16/2016,26,college,female
14,14,1,1000,7,9/10/2016,9/16/2016,27,High School or Below,male
15,15,1,800,15,9/10/2016,9/24/2016,26,college,male
16,16,1,1000,30,9/10/2016,10/9/2016,40,High School or Below,male
17,17,1,1000,15,9/10/2016,9/24/2016,32,High School or Below,male
18,18,1,1000,30,9/10/2016,10/9/2016,32,High School or Below,male
19,19,1,800,30,9/10/2016,10/9/2016,26,college,male
20,20,1,1000,30,9/10/2016,10/9/2016,26,college,male
22,22,1,1000,30,9/10/2016,10/9/2016,25,High School or Below,male
23,23,1,1000,15,9/10/2016,9/24/2016,26,college,male
25,25,1,1000,30,9/10/2016,10/9/2016,29,High School or Below,male
26,26,1,800,15,9/10/2016,9/24/2016,39,Bechalor,male
27,27,1,1000,15,9/10/2016,9/24/2016,34,Bechalor,male
28,28,1,1000,30,9/11/2016,10/10/2016,31,college,male
29,29,1,1000,30,9/11/2016,10/10/2016,33,college,male
30,30,1,800,15,9/11/2016,9/25/2016,33,High School or Below,male
31,31,1,1000,30,9/11/2016,10/10/2016,37,college,male
32,32,1,1000,30,9/11/2016,10/10/2016,27,college,male
33,33,1,1000,30,9/11/2016,10/10/2016,37,college,male
34,34,1,800,15,9/11/2016,9/25/2016,33,college,male
36,36,1,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
39,39,1,1000,30,9/11/2016,10/10/2016,21,Bechalor,male
40,40,1,1000,15,9/11/2016,9/25/2016,32,college,female
41,41,1,800,15,9/11/2016,9/25/2016,30,college,male
42,42,1,1000,7,9/11/2016,9/24/2016,31,Bechalor,male
43,43,1,1000,15,9/11/2016,9/25/2016,30,college,male
44,44,1,1000,15,9/11/2016,9/25/2016,24,Bechalor,female
45,45,1,800,7,9/11/2016,9/17/2016,35,High School or Below,male
46,46,1,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
47,47,1,1000,30,9/11/2016,10/10/2016,32,college,male
49,49,1,800,15,9/11/2016,9/25/2016,50,High School or Below,male
51,51,1,1000,30,9/11/2016,10/10/2016,35,Bechalor,female
52,52,1,800,15,9/11/2016,9/25/2016,35,Bechalor,female
53,53,1,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
54,54,1,1000,30,9/11/2016,10/10/2016,21,High School or Below,male
55,55,1,1000,15,9/11/2016,9/25/2016,25,college,male
56,56,1,1000,30,9/11/2016,10/10/2016,27,High School or Below,male
57,57,1,1000,30,9/11/2016,10/10/2016,26,Bechalor,male
58,58,1,800,15,9/11/2016,9/25/2016,44,High School or Below,female
59,59,1,800,15,9/11/2016,9/25/2016,39,Master or Above,male
60,60,1,1000,30,9/11/2016,10/10/2016,34,Bechalor,male
62,62,1,1000,30,9/11/2016,10/10/2016,34,High School or Below,male
63,63,1,1000,30,9/11/2016,10/10/2016,45,college,male
65,65,1,900,15,9/11/2016,9/25/2016,28,college,male
66,66,1,1000,30,9/11/2016,10/10/2016,28,Bechalor,male
67,67,1,1000,30,9/11/2016,10/10/2016,37,High School or Below,male
69,69,1,1000,30,9/11/2016,10/10/2016,43,Bechalor,male
70,70,1,800,15,9/11/2016,9/25/2016,29,college,male
71,71,1,800,15,9/11/2016,9/25/2016,29,High School or Below,male
72,72,1,1000,30,9/11/2016,10/10/2016,33,Bechalor,female
73,73,1,1000,15,9/11/2016,9/25/2016,34,college,male
74,74,1,1000,15,9/11/2016,9/25/2016,25,college,male
75,75,1,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
77,77,1,1000,30,9/11/2016,10/10/2016,35,college,male
79,79,1,1000,30,9/11/2016,10/10/2016,44,High School or Below,female
80,80,1,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
81,81,1,1000,7,9/11/2016,9/17/2016,25,college,male
82,82,1,1000,15,9/11/2016,9/25/2016,29,college,male
83,83,1,800,15,9/11/2016,9/25/2016,33,college,male
86,86,1,1000,30,9/11/2016,10/10/2016,24,High School or Below,female
87,87,1,1000,30,9/11/2016,10/10/2016,27,college,female
89,89,1,800,15,9/11/2016,9/25/2016,46,High School or Below,female
90,90,1,800,15,9/11/2016,9/25/2016,34,college,female
92,92,1,800,15,9/11/2016,9/25/2016,38,High School or Below,male
93,93,1,800,15,9/11/2016,9/25/2016,27,High School or Below,male
94,94,1,1000,30,9/11/2016,10/10/2016,33,High School or Below,male
95,95,1,1000,30,9/11/2016,10/10/2016,36,college,male
97,97,1,1000,30,9/11/2016,10/10/2016,34,college,male
98,98,1,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
99,99,1,1000,30,9/11/2016,10/10/2016,31,Bechalor,female
101,101,1,800,15,9/11/2016,9/25/2016,38,college,male
102,102,1,1000,30,9/11/2016,10/10/2016,30,college,male
103,103,1,1000,15,9/11/2016,9/25/2016,45,High School or Below,male
104,104,1,1000,15,9/11/2016,9/25/2016,35,college,male
106,106,1,1000,30,9/11/2016,10/10/2016,31,High School or Below,male
107,107,1,1000,30,9/11/2016,10/10/2016,31,High School or Below,male
108,108,1,1000,30,9/11/2016,10/10/2016,28,college,male
109,109,1,1000,7,9/11/2016,9/24/2016,29,college,male
110,110,1,800,15,9/11/2016,9/25/2016,29,college,male
111,111,1,1000,30,9/11/2016,11/9/2016,27,college,female
112,112,1,1000,30,9/11/2016,10/10/2016,27,college,male
113,113,1,1000,30,9/11/2016,10/10/2016,33,college,male
114,114,1,1000,30,9/11/2016,10/10/2016,28,college,male
115,115,1,1000,15,9/11/2016,9/25/2016,25,High School or Below,male
116,116,1,1000,30,9/11/2016,10/10/2016,40,college,male
117,117,1,1000,30,9/11/2016,10/10/2016,23,High School or Below,male
118,118,1,1000,30,9/11/2016,10/10/2016,35,Bechalor,male
119,119,1,800,15,9/11/2016,9/25/2016,24,college,male
120,120,1,1000,30,9/11/2016,10/10/2016,34,college,male
121,121,1,1000,30,9/11/2016,10/10/2016,22,High School or Below,male
122,122,1,1000,15,9/11/2016,10/25/2016,20,college,male
123,123,1,1000,15,9/11/2016,9/25/2016,23,college,male
124,124,1,1000,30,9/11/2016,10/10/2016,33,college,male
125,125,1,1000,30,9/11/2016,10/10/2016,26,college,male
126,126,1,1000,15,9/11/2016,9/25/2016,28,High School or Below,male
127,127,1,800,15,9/11/2016,9/25/2016,43,High School or Below,male
128,128,1,1000,15,9/11/2016,9/25/2016,34,Bechalor,male
129,129,1,1000,30,9/11/2016,10/10/2016,38,Bechalor,male
130,130,1,1000,15,9/11/2016,9/25/2016,26,High School or Below,male
131,131,1,800,15,9/11/2016,9/25/2016,43,High School or Below,male
132,132,1,1000,30,9/11/2016,10/10/2016,26,High School or Below,male
133,133,1,1000,30,9/11/2016,10/10/2016,33,college,female
134,134,1,800,15,9/11/2016,9/25/2016,24,college,male
135,135,1,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
136,136,1,800,15,9/11/2016,9/25/2016,32,High School or Below,female
137,137,1,1000,15,9/11/2016,10/25/2016,22,college,male
138,138,1,1000,15,9/11/2016,9/25/2016,47,High School or Below,male
139,139,1,1000,30,9/11/2016,10/10/2016,20,High School or Below,male
140,140,1,1000,30,9/11/2016,10/10/2016,28,High School or Below,male
141,141,1,800,15,9/11/2016,9/25/2016,35,college,male
143,143,1,800,15,9/11/2016,9/25/2016,33,college,female
144,144,1,1000,30,9/11/2016,10/10/2016,30,High School or Below,male
145,145,1,1000,15,9/11/2016,9/25/2016,31,college,male
146,146,1,1000,30,9/11/2016,11/9/2016,26,college,female
148,148,1,1000,15,9/12/2016,9/26/2016,26,Bechalor,male
149,149,1,800,15,9/12/2016,9/26/2016,35,Bechalor,male
151,151,1,800,15,9/12/2016,9/26/2016,23,college,male
152,152,1,500,15,9/12/2016,9/26/2016,23,college,female
153,153,1,1000,15,9/12/2016,9/26/2016,30,college,male
154,154,1,1000,30,9/12/2016,10/11/2016,34,college,male
155,155,1,1000,30,9/12/2016,10/11/2016,36,High School or Below,female
157,157,1,800,15,9/12/2016,9/26/2016,29,High School or Below,male
158,158,1,1000,15,9/12/2016,9/26/2016,28,college,female
159,159,1,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
160,160,1,1000,15,9/12/2016,9/26/2016,24,High School or Below,male
161,161,1,800,15,9/12/2016,9/26/2016,31,Bechalor,male
162,162,1,1000,30,9/12/2016,10/11/2016,28,High School or Below,male
163,163,1,1000,15,9/12/2016,9/26/2016,27,college,female
164,164,1,1000,15,9/12/2016,9/26/2016,25,High School or Below,male
165,165,1,1000,30,9/12/2016,11/10/2016,24,High School or Below,male
166,166,1,1000,30,9/12/2016,10/11/2016,28,college,male
168,168,1,1000,15,9/12/2016,9/26/2016,35,High School or Below,male
170,170,1,1000,15,9/12/2016,9/26/2016,38,High School or Below,male
171,171,1,1000,30,9/12/2016,10/11/2016,29,college,male
172,172,1,800,15,9/12/2016,9/26/2016,35,High School or Below,male
173,173,1,1000,30,9/12/2016,10/11/2016,24,college,male
174,174,1,800,15,9/12/2016,9/26/2016,39,High School or Below,male
175,175,1,800,15,9/12/2016,9/26/2016,25,college,male
176,176,1,1000,30,9/12/2016,10/11/2016,38,High School or Below,male
177,177,1,1000,30,9/12/2016,10/11/2016,30,college,male
178,178,1,1000,30,9/12/2016,10/11/2016,21,High School or Below,male
180,180,1,1000,15,9/12/2016,9/26/2016,31,High School or Below,female
181,181,1,300,7,9/12/2016,9/18/2016,29,High School or Below,male
182,182,1,1000,30,9/12/2016,10/11/2016,35,High School or Below,male
183,183,1,800,15,9/12/2016,9/26/2016,30,High School or Below,male
184,184,1,1000,30,9/12/2016,10/11/2016,27,High School or Below,male
185,185,1,1000,30,9/12/2016,10/11/2016,31,High School or Below,female
187,187,1,1000,15,9/12/2016,9/26/2016,34,High School or Below,male
188,188,1,800,15,9/12/2016,9/26/2016,28,college,male
189,189,1,800,15,9/12/2016,9/26/2016,42,college,male
190,190,1,1000,30,9/12/2016,10/11/2016,32,college,male
191,191,1,1000,30,9/12/2016,10/11/2016,30,High School or Below,male
192,192,1,1000,15,9/12/2016,9/26/2016,25,High School or Below,female
193,193,1,1000,30,9/12/2016,10/11/2016,27,High School or Below,female
194,194,1,800,15,9/12/2016,9/26/2016,21,college,male
195,195,1,1000,30,9/12/2016,10/11/2016,24,college,male
197,197,1,1000,15,9/12/2016,9/26/2016,40,college,male
198,198,1,1000,30,9/12/2016,10/11/2016,29,High School or Below,male
200,200,1,1000,15,9/12/2016,9/26/2016,30,college,male
201,201,1,1000,30,9/12/2016,10/11/2016,26,High School or Below,female
